Date,Community,Dead,Injured,Total,Description
"December 31, 2018","Cleveland, Ohio (5)",3,2,5,A dispute began at a rented Airbnb during a New Year's Eve party. Three men were killed and another man and woman were wounded.[14]
"December 29, 2018","Lima, Ohio (2)",1,3,4,One person was killed and three people were wounded in a shooting at an afterhours club.[15]
"December 28, 2018","St. Charles, Missouri",4,1[n 1],5,"A gunman shot and killed his girlfriend, her two children, and her mother. He was arrested after exchanging fire with police and attempting to carjack a vehicle.[16] The shooter was given the death penalty in 2022.[17]"
"December 24, 2018","Lutcher, Louisiana",2,2,4,Three people were killed and two others were wounded in a shooting outside of a bar.[18]
"December 23, 2018","Springfield, Missouri (2)",0,7,7,Seven people were wounded during a shooting at a holiday party.[19]
"December 22, 2018","Las Vegas, Nevada (2)",0,4,4,Four people were wounded during a shooting at a holiday party.[20]
"December 18, 2018","Baltimore, Maryland (4)",0,5,5,Five people were injured in a shooting outside a deli.[21]
"December 15, 2018","Miami, Florida (5)",0,5,5,Five people were wounded in a shooting.[22]
"December 14, 2018","Colorado Springs, Colorado (2)",1,3,4,One person was killed and three others were injured in a shooting near the Colorado Springs Airport.[23]
"December 13, 2018","Philadelphia, Pennsylvania (10)",0,4,4,Four men were injured in a shooting that occurred inside a barbershop. The suspect evaded police but the weapon was recovered.[24]
"December 11, 2018","Natachitoches, Louisiana",1,3,4,One person was killed and three others were wounded in a shooting just before midnight.[25]
"December 9, 2018","Madison, Wisconsin",0,4,4,Four people were injured by gunfire inside a strip club following a fight. The perpetrator was also stabbed.[26][27]
"December 9, 2018","Laurinburg, North Carolina",1,3,4,One person was killed and three others were wounded in a shooting.[28]
"December 8, 2018","New York City, New York (6)",0,5,5,Five people were wounded outside of a nightclub in Queens after a dispute inside the club.[29]
"December 1, 2018","Miami, Florida (4)",0,5,5,Five people were wounded in a shooting in the Overtown neighborhood of Miami.[30]
"November 26, 2018","Powell, Tennessee",0,4,4,Four people were wounded in a shooting. Two suspects were taken into custody by police.[31]
"November 25, 2018","Houston, Texas (4)",1,6,7,"A thirteen-year-old boy was killed and six other people were injured in a shooting at a block party. At least two shooters were involved, and police believe it may have been gang-related.[32]"
"November 25, 2018","Demopolis, Alabama",2,2,4,Two people were killed and two others were wounded in a shooting at an intersection.[33]
"November 25, 2018","Oakland, California (4)",0,4,4,Four people were wounded in a drive-by shooting while attending a vigil for a resident of their area who had died of natural causes.[34]
"November 24, 2018","Orlando, Florida (4)",2,2,4,Two people were killed and two others were wounded in a shooting outside a pizza shop. A suspect was taken into custody by police.[35]
"November 23, 2018","Miami, Florida (3)",2,2,4,"Two people were killed and five others were wounded in a shooting outside of a convenience store. Two of the injured were hit with bullets, the other three were injured in other ways.[36]"
"November 22, 2018","Fort Wayne, Indiana",3,2,5,"Three people were killed and two others were injured in a home invasion shooting. One person was arrested the next day, and police suspect another person was involved.[37]"
"November 21, 2018","St. Louis, Missouri (9)",0,4,4,Four people were injured in a shooting in the Penrose neighborhood of St. Louis.[38]
"November 19, 2018","Denver, Colorado (2)",1,3,4,One person was killed and three others were injured in a shooting in the LoDo neighborhood.[39]
"November 19, 2018","Philadelphia, Pennsylvania (9)",4,0,4,Four people were discovered shot execution style in the head in a basement of a home.[40] 2 men was sentenced in 2020 for the crime.[41]
"November 18, 2018","Los Angeles, California (6)",1,3[n 1],4,"A man killed his girlfriend and wounded his uncle and grandmother in a shooting in Watts, Los Angeles. The shooter was also injured, either during a confrontation with police or by a self-inflicted gunshot.[42]"
"November 16, 2018","Little Rock, Arkansas",3,1,4,"Police found a boy suffering from gunshot injuries, then discovered a car that had crashed into a ditch. Inside the car were three people who had all been shot and killed.[43]"
"November 16, 2018","Wheatland, Wisconsin",1,3,4,"Two people were shot inside a home, and two others were shot at a gas station. One of the victims later died of their injuries.[44]"
"November 14, 2018","Baton Rouge, Louisiana",3,1,4,Three people were killed and one person was injured in a shooting.[45]
"November 13, 2018","Indianapolis, Indiana (3)",2[n 1],2,4,A man killed one person and wounded two others after shooting them during what police believe to be a drug robbery. the perpetrator was shot and killed by an armed person.[46][47]
"November 13, 2018","Tsayatoh, New Mexico",4[n 1],1,5,A person killed three people and injured a fourth before killing themself in a residence in an apparent murder–suicide.[48]
