Date,Community,State,Dead,Injured,Total,Description
"December 29, 2019",Ceres,California,0,5,5,Five people were shot outside a home after returning from a bar in Modesto where they had been involved in an altercation.[12]
"December 29, 2019",Danville,Illinois,0,5,5,Five women aged 18 to 32 years old were injured by gunfire after the home they were in was shot at by an unknown person.[13]
"December 29, 2019",Buffalo (2),New York,1,3,4,"After an argument escalated on a front porch, four people were wounded by gunfire, with one man dying later at the hospital.[14]"
"December 27, 2019",Houston (10),Texas,2,7,9,Two people were killed and seven injured in a drive-by shooting at a music video set.[15]
"December 27, 2019",Kennesaw,Georgia,0,4,4,Officers responding to a call about an individual shot arrived at a house party and found four teenagers injured.[16]
"December 27, 2019",Modesto,California,1,3,4,Officers responding to a call of suspicious circumstances near an intersection found one man killed and two others and a woman injured.[17]
"December 26, 2019",St. Petersburg,Florida,0,5,5,"Five people were wounded by gunfire outside a night club, with an additional three injured by the resulting building damage and chaos. The shooting occurred after an altercation escalated out onto the street.[18]"
"December 25, 2019",Coralville,Iowa,1,3,4,"Police responding to reports of shots fired discovered four wounded victims, one of which died later at the hospital.[19]"
"December 25, 2019",Richmond (2),Virginia,1,3,4,"One person was killed and three injured in a shooting outside a bar, after an earlier argument in a restaurant.[20]"
"December 25, 2019",Oakland (5),California,0,4,4,Four people wounded by gunfire were discovered by police after responding to a house party.[21]
"December 24, 2019",High Point,North Carolina,0,6,6,Six people were wounded in a shooting in which the perpetrator was believed to have exited a vehicle and opened fire before leaving in it.[22]
"December 24, 2019",New Orleans (9),Louisiana,0,4,4,Shooters wearing ski masks exited a vehicle and wounded four people before fleeing.[23]
"December 22, 2019",Chicago (31),Illinois,0,13,13,"Thirteen people were shot at a party that was held to memorialize a victim of an earlier shooting, at least one was a teenager.[24]"
"December 22, 2019",Baltimore (16),Maryland,0,7,7,"Seven people were wounded in an early morning shooting, including two 17-year-olds.[25]"
"December 21, 2019",Waynesbroro,Mississippi,1,6,7,One person was killed and six injured in an apartment complex after a drive-by shooting.[26]
"December 20, 2019",Winston-Salem (3),North Carolina,2[n 1],2,4,Two people were killed and a police officer and bystander injured at the local Sanitation Department after a fight escalated.[27]
"December 20, 2019",Tuskegee,Alabama,2,2,4,Two people were killed and two were injured in a late night double homicide.[28]
"December 19, 2019",Westerly,Rhode Island,2[n 1],2,4,"A resident at Babcock Village Apartments shot two employees, one fatally, and one resident before killing himself.[29]"
"December 18, 2019",San Antonio (5),Texas,0,4,4,Four people were shot at the South Park Mall.[30]
"December 17, 2019",Great Falls,Montana,4[n 1],1,5,Three people are killed and one wounded in a shooting at the Emerald City Casino. The suspect was later killed by police at a different location.[31]
"December 15, 2019",Columbus,Georgia,1,4,5,One man was killed and four others injured at an intersection early in the morning.[32]
"December 14, 2019",Ivanhoe,California,0,4,4,Four teenagers were wounded in a drive-by shooting at an apartment complex.[33]
"December 12, 2019",St. Louis (8),Missouri,1,3,4,One man was killed and three wounded in a business parking lot.[34]
"December 10, 2019",Jersey City (3),New Jersey,6[n 1],3,9,"2019 Jersey City shooting: Four people were killed, including a police officer, and another three were injured in an ambush style shootout by a man and woman who were killed by police. The suspects were Black Hebrew Israelites members and targeted a kosher grocery store.[35]"
"December 10, 2019",Edinburg,Texas,4,0,4,"Four people were discovered dead in a home, in either by a murder-suicide or a quadruple homicide. A toddler was also in the home, unharmed.[36]"
"December 8, 2019",Desoto,Texas,2,3,5,"Two men were killed and three injured at an apartment building. The incident was originally reported as a home invasion, although the account was not confirmed.[37]"
"December 8, 2019",New Orleans (8),Louisiana,1,4,5,"Five people were shot outside a local bar, with one man dying of his injuries at the hospital.[38]"
"December 6, 2019",Pensacola,Florida,4[n 1],8,12,Naval Air Station Pensacola shooting: A man killed three individuals and injured eight more at Naval Air Station Pensacola before being killed by police. A terrorist motive is suspected to be behind the attack.[39]
"December 5, 2019",Miramar,Florida,4[n 1],1,5,"2019 Miramar shootout: Four people are dead and one injured after a pair of men rob a jewelry store in Coral Gables, injuring the clerk, then carjack a UPS truck and lead police on a chase that ended in a shootout in Miramar that killed the UPS driver, a bystander, and the suspects.[40]"
"December 4, 2019",Honolulu County,Hawaii,3[n 1],1,4,"22-year-old Gabriel Romero, a US Navy sailor and submarine crewman, randomly opened fire just minutes after starting his shift for routine guard duty at Joint Base Pearl Harbor–Hickam. He opened fire on a group of civilian workers, killing two and wounded another, before immediately shooting himself. The motive is thought to be a toxic cultural environment in the USN, particularly among submarine crewman.[41]"
"December 4, 2019",Montgomery (2),Alabama,2,2,4,Two people were killed and two wounded in an apartment complex.[42]
"December 1, 2019",Comstock Township,Michigan,1,3,4,One person was killed and three police officers wounded when a home invasion turned into a hostage situation.[43]
"December 1, 2019",Cotton Valley,Louisiana,2,3[n 2],5,"One woman was killed and three others wounded, including one of the two perpetrators, after an argument escalated at a nightclub.[44][45]"
"December 1, 2019",New Orleans (7),Louisiana,2,2,4,Two people were killed and two injured at an intersection hours after the first mass shooting in the city.[46]
"December 1, 2019",Aurora (2),Illinois,1,4,5,"One person was killed and four were injured in a shooting in Aurora, Illinois.[47]"
"December 1, 2019",New Orleans (6),Louisiana,0,10,10,2019 New Orleans shooting: Ten people were shot in a densely populated area with heavy police presence at a time when tens of thousands of tourists were downtown for the Bayou Classic football game.[48]
"November 29, 2019",Amarillo,Texas,0,7,7,Seven people were shot at a nightclub in the early morning.[49]
"November 27, 2019",New York City (6),New York,0,5,5,Five people were wounded including two children aged 10 and 15.[50]
"November 25, 2019",Brownsville,Florida,2,2,4,Two men were killed and two others wounded in a drive-by shooting. One suspect was arrested after the car crashed into a parked police car.[51]
"November 24, 2019",Los Angeles (8),California,0,6,6,Six people were wounded at a warehouse party after an argument escalated and the perpetrator opened fire.[52]
"November 24, 2019",Cottonport,Louisiana,2,2,4,Two people were killed and two others injured in an early morning shooting at a club.[53]
"November 24, 2019",Birmingham (4),Alabama,1,4,5,One person was killed and four others injured in a drive-by shooting after being made to leave a club following an argument.[54]
"November 23, 2019",Tallulah,Louisiana,1,6,7,One person was killed and six injured after an argument at a club escalated and the perpetrator began to fire randomly.[55]
"November 23, 2019",Los Angeles (7),California,0,4,4,Four people were wounded at an outdoor party after a fight broke out.[56]
"November 21, 2019",Long Beach (3),California,0,5,5,Five people were wounded randomly as a man drove down a road and opened fire on pedestrians.[57]
"November 21, 2019",Everett,Washington,0,4,4,Four people were wounded in an apartment complex during a large gathering.[58]
"November 20, 2019",Richmond (2),California,0,4,4,Four people were wounded in a shooting.[59]
"November 18, 2019",Newark (3),New Jersey,1,3,4,One person was killed and three people were injured in two homes on one street.[60]
"November 17, 2019",Fresno (2),California,4,6,10,"2019 Fresno shooting: Ten people were shot, four fatally, at a football watch party.[61][62]"
"November 17, 2019",Cleveland (4),Ohio,0,4,4,Four people were wounded outside a home by a drive-by shooting.[63]
"November 16, 2019",San Diego (2),California,5[n 1],1,6,"A man killed his estranged wife and their three children, wounding a fourth child, before killing himself.[64]"
"November 14, 2019",Santa Clarita,California,3[n 1],3,6,"2019 Saugus High School shooting: A high school student shot five classmates, two fatally, before shooting himself; he died the next day in the hospital.[65]"
"November 11, 2019",Belle Glade,Florida,0,4,4,Four people were shot randomly along a road.[66]
"November 10, 2019",Kansas City (4),Missouri,0,4,4,Four people were wounded outside a night club after a disturbance escalated.[67]
"November 10, 2019",Memphis (4),Tennessee,1,4,5,A woman was killed and four others were wounded during an early morning shooting at a strip club.[68]
"November 10, 2019",Little Rock (2),Arkansas,0,4,4,"An adult male and three children, aged 12 through 13-years-old, were wounded by an unknown perpetrator while filming a rap music video.[69]"
