2024 date,Location,State or territory,Dead,Injured,Total,Description
November 18,Denver (2),Colorado,0,4,4,Four men were wounded at a strip mall following a dispute over a work ticket in the southeast side.[16]
November 17,New Orleans (5),Louisiana,0,10,10,Ten people were injured in a drive-by shooting during an ongoing parade in the St. Roch neighborhood.[17]
November 17,Columbus (5),Ohio,0,4,4,Four people were injured in an early morning shooting near the Hungarian Village neighborhood in the south side.[18]
November 16,Walthall County,Mississippi,1,4,5,A woman was killed and four others were injured when a shooting at a large gathering broke out.[19]
November 16,Riverside,California,0,4,4,Four people were shot and two others were stabbed during a street party in the La Sierra neighborhood.[20]
November 16,Lancaster (2),California,3,1,4,"Emergency crews responding to a house fire found four people, including a teenager, shot, three fatally.[21]"
November 15,National City,California,1,4,5,"During an ongoing illegal party being held at an abandoned house, a shooting that broke out killed a 12-year-old boy and injured four other men.[22][23]"
November 13,San Diego,California,3[n 1],1,4,"A man shot and killed his ex-girlfriend and her husband inside a car in the Little Italy neighborhood of Downtown San Diego when they arrived near the courthouse to attend the restraining order hearing during the morning hours. Minutes later, he shot at the police after they located him, wounding one officer. The shooter was then killed when police fired back.[24]"
November 11,Albuquerque (2),New Mexico,1[n 1],3,4,A man who was pointing a gun at people at a gas station in the northeast side opened fire at the police after being asked to drop the weapon. Officers then returned fire and killed the suspect. Three others were injured in the shootout.[25]
November 10,Wichita (3),Kansas,5[n 1],0,5,"Five men were found dead from gunshot wounds at three different homes. Police later learned that a man killed his father, his stepfather, and his two neighbors before taking his own life.[26]"
November 10,Atlanta (6),Georgia,0,4,4,A dispute over a firearm escalated into a shooting that injured four on the southeast side.[27]
November 10,Tuskegee (2),Alabama,1,12,13,"Tuskegee University shooting: During the 100th homecoming week celebration at Tuskegee University, a man opened fire on campus, killing an unaffiliated teen and wounding at least twelve others, including students. Four others suffered non-gunfire-related injuries.[28]"
November 10,Laurel,Mississippi,0,5,5,Five people were injured when a man opened fire at a party center after being denied entry.[29]
November 9,Huntsville (2),Alabama,1,3,4,"Four people, one fatally, were injured when an altercation between the two groups escalated into a shooting at a restaurant on the west side.[30]"
November 9,Lafayette,Louisiana,2,2,4,Two people were killed and two others were injured when gunfire broke out near the University of Louisiana campus during a homecoming game.[31]
November 8,Lynchburg,Virginia,0,5,5,A shooting on the patio of a restaurant in the Sandusky neighborhood wounded five.[32]
November 8,Mount Joy & Dauphin County,Pennsylvania,3[n 1],3,6,"A man entered the apartment of a woman who had a restraining order against him and opened fire, striking four family members of the woman, one of whom died. The man then kidnapped the woman and responding officers engaged in a high-speed pursuit with him into Dauphin County where he was stopped with a PIT maneuver by Pennsylvania State Police on Route 147. After being stopped, the man opened fire on police who returned fire and fatally shot him. The kidnapped woman was found dead inside the man's car, but it is unclear who shot her.[33]"
November 7,Duluth,Minnesota,5[n 1],0,5,A man went to his ex-partner's home in the Cody neighborhood and fatally shot her and their son. The man then returned to his home in the Denfield neighborhood and fatally shot his wife and their son before committing suicide.[34]
November 7,Pittsburgh (2),Pennsylvania,0,4,4,"Three people were shot on the porch of a home in the Northview Heights neighborhood in the North Side. A fourth victim, a man, was found inside a vehicle by responding officers suffering a gunshot wound after he crashed in East Allegheny.[35]"
November 3,Stillwater,Oklahoma,0,4,4,A shooting that disrupted a homecoming party injured four.[36]
November 3,Summit View,Washington,1,3,4,"Authorities began receiving calls about a shooting at a house party shortly after midnight and responding officers found a man suffering a mortal gunshot wound on the ground outside a car crashed in a ditch near the party. Later, three other men arrived at hospitals with gunshot wounds.[37]"
November 3,Detroit (8),Michigan,2,4,6,Two people were killed and four others were injured in the Claytown neighborhood in the city's west side.[38]
November 2,Cecil County,Maryland,2,2,4,Two people were killed and two others were injured in an early morning shooting north of Elkton.[39]
November 2,Reno,Nevada,1,3,4,One person was killed and three others were injured outside of a tavern in Midtown Reno.[40]
November 1,Northglenn,Colorado,3,3,6,Three people were killed and three others were injured when a shooting broke out during a Halloween house party.[41]
November 1,New Haven (2),Connecticut,0,4,4,"Four people, including two teenagers, were injured in a shooting in Downtown New Haven in which counterfeit bills were found strewn around the scene of the attack.[42]"
November 1,Orlando (2),Florida,2,7,9,"2024 Orlando Halloween shooting: Two men were killed and seven others were wounded when a suspect, a 17-year-old boy, opened fire in Downtown Orlando during Halloween festivities. One woman was hospitalized after she was trampled by people fleeing the shooting.[43]"
October 31,Wilmington,Delaware,1,3,4,A man was killed and three other men were injured in a shooting in northeastern Wilmington.[44]
October 30,Pasco County (2),Florida,0,4,4,Four people were injured after a fight between two neighbors escalated into a shooting north of Zephyrhills.[45]
October 28,Memphis (10),Tennessee,0,5,5,Five men were injured when a man opened fire at an apartment complex in the southeast side.[46]
October 27,Clarksdale (2),Mississippi,1,3,4,A man was killed and three others were injured in a shooting during the evening.[47]
October 27,Kalamazoo,Michigan,0,6,6,Six people were shot at a former laundromat being used to host a party after an argument broke out. One of the victims returned fire.[48]
October 27,Bella Vista,California,1,5,6,A teenager was killed and five others were injured in a shooting at a Halloween house party.[49]
October 27,Corpus Christi (3),Texas,2,2,4,Two people were killed and two others were injured after a fight in a parking lot escalated into a shooting in the Southside neighborhood.[50]
October 27,Corpus Christi (2),Texas,0,5,5,"A fight at a party escalated into a shooting that wounded five men, including two teenagers.[51]"
October 26,Union Springs,Alabama,2,3,5,Two teenagers were killed and three others were injured in an overnight shooting.[52]
October 26,Durham (2),North Carolina,0,4,4,"A shooting which injured no one on the North Carolina Central University campus during a homecoming celebration led to a lockdown and a sweep of the campus by police officers. During the sweep, another shooting happened on campus, unrelated to the first shooting, in which four people, including one student, were injured.[53]"
