"","date","city","state","dead","injured","total","description","year","quarter","month","day","date2","weekday","lat","lng"
"1",2024-11-18,"Denver","Colorado",0,4,4,"Four men were wounded at a strip mall following a dispute over a work ticket in the southeast side.",2024,4,"Nov",18,"Nov 18","Mon",39.762,-104.8758
"2",2024-11-17,"New Orleans","Louisiana",0,10,10,"Ten people were injured in a drive-by shooting during an ongoing parade in the St. Roch neighborhood.",2024,4,"Nov",17,"Nov 17","Sun",30.0687,-89.9288
"3",2024-11-17,"Columbus","Ohio",0,4,4,"Four people were injured in an early morning shooting near the Hungarian Village neighborhood in the south side.",2024,4,"Nov",17,"Nov 17","Sun",39.9862,-82.9855
"4",2024-11-16,"Walthall County","Mississippi",1,4,5,"A woman was killed and four others were injured when a shooting at a large gathering broke out.",2024,4,"Nov",16,"Nov 16","Sat",NA,NA
"5",2024-11-16,"Riverside","California",0,4,4,"Four people were shot and two others were stabbed during a street party in the La Sierra neighborhood.",2024,4,"Nov",16,"Nov 16","Sat",33.9381,-117.3949
"6",2024-11-16,"Lancaster","California",3,1,4,"Emergency crews responding to a house fire found four people, including a teenager, shot, three fatally.",2024,4,"Nov",16,"Nov 16","Sat",34.6935,-118.1753
"7",2024-11-15,"National City","California",1,4,5,"During an ongoing illegal party being held at an abandoned house, a shooting that broke out killed a 12-year-old boy and injured four other men.",2024,4,"Nov",15,"Nov 15","Fri",32.6654,-117.0983
"8",2024-11-13,"San Diego","California",3,1,4,"A man shot and killed his ex-girlfriend and her husband inside a car in the Little Italy neighborhood of Downtown San Diego when they arrived near the courthouse to attend the restraining order hearing during the morning hours. Minutes later, he shot at the police after they located him, wounding one officer. The shooter was then killed when police fired back.",2024,4,"Nov",13,"Nov 13","Wed",32.8313,-117.1222
"9",2024-11-11,"Albuquerque","New Mexico",1,3,4,"A man who was pointing a gun at people at a gas station in the northeast side opened fire at the police after being asked to drop the weapon. Officers then returned fire and killed the suspect. Three others were injured in the shootout.",2024,4,"Nov",11,"Nov 11","Mon",35.1054,-106.6465
"10",2024-11-10,"Wichita","Kansas",5,0,5,"Five men were found dead from gunshot wounds at three different homes. Police later learned that a man killed his father, his stepfather, and his two neighbors before taking his own life.",2024,4,"Nov",10,"Nov 10","Sun",37.6895,-97.3443
"11",2024-11-10,"Atlanta","Georgia",0,4,4,"A dispute over a firearm escalated into a shooting that injured four on the southeast side.",2024,4,"Nov",10,"Nov 10","Sun",33.7628,-84.422
"12",2024-11-10,"Tuskegee","Alabama",1,12,13,"Tuskegee University shooting: During the 100th homecoming week celebration at Tuskegee University, a man opened fire on campus, killing an unaffiliated teen and wounding at least twelve others, including students. Four others suffered non-gunfire-related injuries.",2024,4,"Nov",10,"Nov 10","Sun",32.4409,-85.7131
"13",2024-11-10,"Laurel","Mississippi",0,5,5,"Five people were injured when a man opened fire at a party center after being denied entry.",2024,4,"Nov",10,"Nov 10","Sun",31.6956,-89.1449
"14",2024-11-09,"Huntsville","Alabama",1,3,4,"Four people, one fatally, were injured when an altercation between the two groups escalated into a shooting at a restaurant on the west side.",2024,4,"Nov",9,"Nov 9","Sat",34.6981,-86.6412
"15",2024-11-09,"Lafayette","Louisiana",2,2,4,"Two people were killed and two others were injured when gunfire broke out near the University of Louisiana campus during a homecoming game.",2024,4,"Nov",9,"Nov 9","Sat",30.2082,-92.0325
